size,run,sec_size,num_gates,process_time,initial_rss,final_rss
1950,1,6,703929,396.375,155312128,284856320
1950,1,7,705097,392.609375,155303936,286183424
1960,1,6,711131,405.71875,155398144,285843456
1960,1,7,711549,399.1875,155779072,288505856
1970,1,6,717650,410.390625,157179904,288485376
1970,1,7,718173,406.671875,155615232,287703040
1980,1,6,724694,410.890625,157941760,292581376
1980,1,7,724553,409.28125,157945856,292601856
1990,1,6,731804,418.640625,156286976,291319808
1990,1,7,731278,414.203125,155684864,290734080
2000,1,6,738725,248.53125,172859392,292417536
2000,1,7,737684,238.5,170442752,293507072
