size,run,sec_size,num_gates,process_time,initial_rss,final_rss
10,1,2,48,0.0,120709120,120733696
10,2,2,37,0.0,120741888,120741888
10,3,2,49,0.0,120745984,120745984
10,4,2,45,0.0,120754176,120754176
10,5,2,40,0.0,120758272,120758272
11,1,2,52,0.0,120758272,120758272
11,2,2,57,0.0,120762368,120762368
11,3,2,54,0.0,120762368,120762368
11,4,2,55,0.0,120762368,120762368
11,5,2,53,0.0,120762368,120762368
12,1,2,59,0.0,120786944,120786944
12,2,2,53,0.015625,120803328,120803328
12,3,2,58,0.0,120725504,120750080
12,4,2,55,0.0,120750080,120750080
12,5,2,57,0.0,120750080,120750080
13,1,2,72,0.0,120782848,120782848
13,2,2,66,0.0,121012224,121012224
13,3,2,74,0.0,121012224,121012224
13,4,2,76,0.0,121012224,121012224
13,5,2,72,0.0,121012224,121012224
14,1,2,88,0.0,121016320,121016320
14,2,2,82,0.0,121016320,121016320
14,3,2,80,0.0,121016320,121016320
14,4,2,74,0.015625,121016320,121016320
14,5,2,86,0.0,120741888,120766464
15,1,2,95,0.015625,121008128,121008128
15,2,2,96,0.015625,121008128,121008128
15,3,2,97,0.0,121008128,121008128
15,4,2,99,0.015625,121008128,121008128
15,5,2,89,0.0,121008128,121008128
16,1,2,113,0.0,121008128,121008128
16,2,2,105,0.0,121102336,121102336
16,3,2,108,0.015625,121110528,121110528
16,4,2,102,0.0,121122816,121122816
16,5,2,117,0.0,121122816,121122816
17,1,2,123,0.015625,121233408,121233408
17,2,2,118,0.0,121110528,121135104
17,3,2,123,0.0,121294848,121294848
17,4,2,121,0.0,121303040,121303040
17,5,2,121,0.015625,121303040,121303040
18,1,2,127,0.015625,121307136,121307136
18,2,2,137,0.0,121307136,121307136
18,3,2,130,0.0,121315328,121315328
18,4,2,131,0.0,121331712,121331712
18,5,2,132,0.0,121577472,121577472
19,1,2,148,0.0,121581568,121581568
19,2,2,149,0.0,121581568,121581568
19,3,2,160,0.0,121585664,121585664
19,4,2,147,0.0,121147392,121171968
19,5,2,152,0.0,121270272,121270272
20,1,2,162,0.015625,121286656,121286656
20,2,2,166,0.0,121307136,121307136
20,3,2,166,0.015625,121552896,121552896
20,4,2,158,0.0,121552896,121552896
20,5,2,171,0.0,121556992,121556992
21,1,2,172,0.0,121561088,121561088
21,2,2,187,0.0,121561088,121561088
21,3,2,178,0.0,121561088,121561088
21,4,2,178,0.0,121561088,121561088
21,5,2,179,0.0,121561088,121561088
22,1,2,197,0.0,121196544,121221120
22,2,2,201,0.015625,121483264,121483264
22,3,2,189,0.0,121487360,121487360
22,4,2,187,0.0,121561088,121561088
22,5,2,190,0.0,121561088,121561088
23,1,2,217,0.015625,121593856,121593856
23,2,2,218,0.0,121593856,121593856
23,3,2,220,0.015625,121622528,121622528
23,4,2,211,0.0,121622528,121622528
23,5,2,211,0.0,121622528,121622528
24,1,2,220,0.015625,121737216,121737216
24,2,2,245,0.0,121737216,121737216
24,3,2,250,0.0,121581568,121606144
24,4,2,242,0.015625,121737216,121737216
24,5,2,227,0.0,121819136,121819136
25,1,2,249,0.015625,121864192,121864192
25,2,2,261,0.0,122187776,122187776
25,3,2,253,0.0,122314752,122314752
25,4,2,255,0.015625,122380288,122380288
25,5,2,259,0.0,122384384,122384384
26,1,2,276,0.0,122384384,122384384
26,2,2,277,0.0,122384384,122384384
26,3,2,278,0.0,122384384,122384384
26,4,2,266,0.0,122384384,122384384
26,5,2,273,0.0,121032704,121057280
27,1,2,293,0.0,121589760,121589760
27,2,2,292,0.015625,121860096,121860096
27,3,2,293,0.015625,121884672,121884672
27,4,2,309,0.0,121888768,121888768
27,5,2,291,0.0,121888768,121888768
28,1,2,336,0.0,121888768,121888768
28,2,2,335,0.015625,121888768,121888768
28,3,2,324,0.0,121970688,121970688
28,4,2,328,0.0,121987072,121987072
28,5,2,317,0.0,121987072,121987072
29,1,2,337,0.015625,121995264,121995264
29,2,2,355,0.015625,121278464,121303040
29,3,2,330,0.015625,121786368,121786368
29,4,2,347,0.0,121917440,121917440
29,5,2,341,0.0,121937920,121937920
30,1,2,358,0.015625,121958400,121958400
30,2,2,355,0.0,122212352,122212352
30,3,2,364,0.0,122212352,122212352
30,4,2,369,0.0,122212352,122212352
30,5,2,346,0.015625,122212352,122212352
31,1,2,384,0.015625,122216448,122216448
31,2,2,377,0.015625,122216448,122216448
31,3,2,378,0.015625,122216448,122216448
31,4,2,391,0.015625,121217024,121241600
31,5,2,395,0.015625,121610240,121610240
32,1,2,414,0.015625,122048512,122048512
32,2,2,396,0.0,122114048,122114048
32,3,2,419,0.0,122122240,122122240
32,4,2,404,0.0,122122240,122122240
32,5,2,408,0.015625,122122240,122122240
33,1,3,400,0.0,122228736,122228736
33,2,3,390,0.0,122228736,122228736
33,3,3,399,0.015625,122232832,122232832
33,4,3,415,0.0,122232832,122232832
33,5,3,405,0.0,122232832,122232832
34,1,3,416,0.015625,121720832,121720832
