size,run,section_size,process_time,initial_rss,final_rss
2000,1,5,485.0625,51179520,218103808
2000,1,6,434.703125,51400704,205017088
2000,2,5,482.546875,51097600,216612864
2000,2,6,436.671875,50393088,206630912
2000,3,5,485.953125,50348032,216883200
2000,3,6,434.375,51470336,205803520
2000,4,5,486.375,50049024,217796608
2000,4,6,435.125,50147328,206512128
2000,5,5,485.421875,51068928,216846336
2000,5,6,435.59375,51126272,206868480
2000,6,5,480.984375,68792320,218009600
2000,6,6,432.796875,69083136,205115392
2000,7,5,482.59375,69013504,217997312
2000,7,6,431.796875,69029888,206999552
2000,8,5,482.234375,69324800,216518656
2000,8,6,433.953125,68456448,205217792
2000,9,5,480.953125,67989504,217149440
2000,9,6,435.0625,68190208,206639104
2000,10,5,482.046875,68558848,216686592
2000,10,6,432.765625,67883008,206090240
2000,11,5,477.828125,68988928,216530944
2000,11,6,429.96875,69058560,205660160
2000,12,5,475.046875,67289088,217845760
2000,12,6,427.84375,69267456,205230080
2000,13,5,477.8125,67616768,216797184
2000,13,6,431.671875,67428352,207708160
2000,14,5,478.15625,69234688,216961024
2000,14,6,430.890625,69505024,206606336
2000,15,5,477.09375,68505600,218525696
2000,15,6,428.765625,68534272,206237696
2000,16,5,479.15625,68857856,217624576
2000,16,6,429.125,69541888,205492224
2000,17,5,468.21875,68050944,216866816
2000,17,6,430.265625,69619712,205373440
2000,18,5,465.84375,69521408,218210304
2000,18,6,421.265625,67653632,205365248
2000,19,5,449.203125,68251648,218222592
2000,19,6,417.796875,69230592,207798272
2000,20,5,449.65625,68059136,218181632
2000,20,6,403.859375,67756032,205488128
